dataset_id,reference,taxon,fly,extent,extent note,heterogeneity,heterogeneity note
Usher_1998,"Usher M.B. & Keiller S.W.J. (1998) The macrolepidoptera of farm woodlands: Determinants of diversity and community structure. Biodiversity and Conservation, 7, 725–748.",lepidoptera,yes,25 km,"not mapped; max distance was 2.5 km, suggesting small extent",medium,"Inferred from google maps. Very diverse landscape mosaic, but no cities."
Vulinec_2008,"Vulinec, K. et al., 2008. Dung Beetles and Long-term Habitat Fragmentation in and. Science, 1(2), pp.111–121.",beetles,variable,25 km,mapped,low ,Inferred from the map 
Williams_2011,"Williams, M.R., 2011. Habitat resources, remnant vegetation condition and area determine distribution patterns and abundance of butterflies and day-flying moths in a fragmented urban landscape, south-west Western Australia. Journal of Insect Conservation, 15(1), pp.37–54.",lepidoptera,yes,50 km,mapped,high,Urban area
Ding_2013,"Ding, Z. , Feeley, K. J., Wang, Y. , Pakeman, R. J. and Ding, P. (2013), Patterns of bird functional diversity on land-bridge island fragments. J Anim Ecol, 82: 781-790. doi:10.1111/1365-2656.12046",birds,yes,50 km,not mapped; searched in google maps,low ,Flooded reservoir
Jauker_2019,"Jauker, F., B. Jauker, I Grass, I Steffan‐Dewenter, and V. Wolters. 2019. Partitioning wild bee and hoverfly contributions to plant–pollinator network structure in fragmented habitats. Ecology 100(2):e02569. 10.1002/ecy.2569",hymenoptera,yes,50 km,not mapped; conservatively estimated based on an official 27.000 ha size ,medium,"""mostly dominated by intensively managed arable land (approximately 40%) and forest (approximately 35%). """
Sridhar_2008,"Sridhar, H., Raman, T.S. and Mudappa, D., 2008. Mammal persistence and abundance in tropical rainforest remnants in the southern Western Ghats, India. Current Science, pp.748-757.",mammals,no,50 km,mapped,high,""" southern Western Ghats formed the study area (Figure 1).  The Valparai plateau is a 220 sq. km enclave primarily  covered by plantations of tea, coffee and Eucalyptus,  roads and human settlements, abutting the IGWLS. Val  parai town in the centre of the plateau and scattered settle  ments have a human population of around 100"""
Vasconcelos_2006,"Vasconcelos, H.L., Vilhena, J.M., Magnusson, W.E. and Albernaz, A.L.M., 2006. Long‐term effects of forest fragmentation on Amazonian ant communities. Journal of Biogeography, 33(8), pp.1348-1356.",ants,no,25 km,mapped,low ,"""Areas in dark grey are covered with forest, while those in light grey are savanna vegetation"" suggest an homogeneous matrix. "
Aguiar_2012,"Aguiar, W.M.D. and Gaglianone, M.C., 2012. Euglossine bee communities in small forest fragments of the Atlantic Forest, Rio de Janeiro state, southeastern Brazil (Hymenoptera, Apidae). Revista Brasileira de Entomologia, 56(2), pp.210-219.",hymenoptera,yes,200 km,mapped,high,table 1 illustrates different matrix types
Almeida-Gomes_2014,"Almeida-Gomes, M. and Rocha, C.F.D., 2014. Diversity and distribution of lizards in fragmented Atlantic Forest landscape in Southeastern Brazil. Journal of Herpetology, 48(3), pp.423-429.",herptiles,no,25 km,mapped,high,"little information available, assessment based on google maps"
Brosi_2008,"Brosi, B.J., Daily, G.C., Shih, T.M., Oviedo, F. and Durán, G., 2008. The effects of forest fragmentation on bee communities in tropical countryside. Journal of Applied Ecology, 45(3), pp.773-783.",hymenoptera,yes,25 km,"not mapped, ""maximum of 13.5 km apart""",medium,"Human management (e.g., for cattle); see fig. 1"
Jyothi_2015,"Jyothi, K.M. and Nameer, P.O., 2015. Birds of sacred groves of northern Kerala, India. Journal of Threatened Taxa, 7(15), pp.8226-8236.",birds,yes,100 km,mapped,high,no information reported; assessment on google maps suggests high diversity of land use in the matrix
Lion_2016,"Lion, M.B., Garda, A.A., Santana, D.J. and Fonseca, C.R., 2016. The conservation value of small fragments for Atlantic forest reptiles. Biotropica, 48(2), pp.265-275.",herptiles,no,25 km,mapped,high,see fig. 1
Wang_2012,"Wang, Y., Wang, X. and Ding, P., 2012. Nestedness of snake assemblages on islands of an inundated lake. Current Zoology, 58(6), pp.828-836.",herptiles,no,50 km,not mapped; searched in google maps,low ,Flooded reservoir
Kapoor_2008,"Effects of rainforest fragmentation and shade-coffee plantations on spider communities in the Western Ghats, India",spiders,no,50 km,mapped,high,"""The Valparai plateau spanning an elevation of 900 m�1,500 m above sea level contains over 220 km2 of tea, coffee, and cardamom plantations surrounded by the Indira Gandhi Wildlife Sanctuary (958 km2) in Tamil Nadu state and other protected areas and reserved forests in Kerala stat""; assessed in google maps, substantial human settlement"
Garmendia_2013,Landscape and patch attributes impacting medium? and large?sized terrestrial mammals in a fragmented rain forest,mammals,no,100 km,mapped,high,"""heterogeneous landscapes composed of forest patches, embedded in a matrix of cattle pasture, agricultural lands, and human settlements"
Fernandez_2013_a,Small mammal assemblages in fragmented shrublands of urban areas of Central Chile,small mammals,no,25 km,mapped,high,urban vs rural site
